start_id,type,end_id
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_3
nsw_legislation:2019-05-27/act-2011-070_part_3_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_14A
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_4
nsw_legislation:2019-05-27/act-2011-070_part_3_division_4,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_15
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_3
nsw_legislation:2019-05-27/act-2011-070_part_3,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_3_division_4
nsw_legislation:2019-05-27/act-2011-070_part_3_division_4,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_3_section_16
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_1
nsw_legislation:2019-05-27/act-2011-070_part_4_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_17
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_1
nsw_legislation:2019-05-27/act-2011-070_part_4_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_18
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_1
nsw_legislation:2019-05-27/act-2011-070_part_4_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_19
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_1
nsw_legislation:2019-05-27/act-2011-070_part_4_division_1,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_20
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_2
nsw_legislation:2019-05-27/act-2011-070_part_4_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_21
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_2
nsw_legislation:2019-05-27/act-2011-070_part_4_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_22
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_2
nsw_legislation:2019-05-27/act-2011-070_part_4_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_23
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_2
nsw_legislation:2019-05-27/act-2011-070_part_4_division_2,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_24
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_25
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_26
nsw_legislation:2019-05-27/act-2011-070,HAS_PART,nsw_legislation:2019-05-27/act-2011-070_part_4
nsw_legislation:2019-05-27/act-2011-070_part_4,HAS_DIVISION,nsw_legislation:2019-05-27/act-2011-070_part_4_division_3
nsw_legislation:2019-05-27/act-2011-070_part_4_division_3,HAS_SECTION,nsw_legislation:2019-05-27/act-2011-070_part_4_section_27
